,original_id
0,002542730X
1,003008685X
2,0060006641
3,0060542128
4,0061009059
5,0062507109
6,0132220598
7,0140283374
8,014039026X
9,0140390715
10,0141439742
11,0152050167
12,0201000822
13,0310435706
14,0312944691
15,0316776963
16,0345413903
17,0375408886
18,0375751513
19,0380702843
20,0380791978
21,038081904X
22,0385424736
23,0385486804
24,0385503857
25,0385504209
26,039304016X
27,0394738136
28,0394862147
29,0399149562
30,0399225064
31,0399501487
32,0425047962
33,0425104338
34,0425116840
35,0425133516
36,0425190749
37,0440185327
38,0440224764
39,0440236061
40,0440236738
41,0440428130
42,0441627404
43,0446311677
44,0446325503
45,0446350982
46,0446522384
47,0446600415
48,0446608890
49,0446676640
50,0451180739
51,0451191153
52,0451203593
53,0452284449
54,0471018732
55,0517573636
56,0523485964
57,0553078925
58,0553280368
59,0553351672
60,0553571656
61,0553573926
62,0553574566
63,0553581929
64,0670307254
65,0671014420
66,0671037692
67,0671528904
68,067172021X
69,0671727079
70,0671740504
71,0671749897
72,0671876821
73,0679417648
74,0679419853
75,0679731148
76,0679736042
77,0684869098
78,0715388185
79,0718002067
80,0736903054
81,0740723367
82,0743406176
83,0743412028
84,0743422082
85,0743444477
86,0743457943
87,0767903382
88,0785243038
89,0786866845
90,0800757483
91,0802425488
92,0803653719
93,0805018956
94,0810909650
95,0811802981
96,0811811409
97,0812504798
98,0812531353
99,0836210263
100,0836213076
101,0836217691
102,0836218515
103,0836218817
104,0836221192
105,0836221311
106,0836236688
107,0842370668
108,0843947888
109,0849995892
110,0871890917
111,087605534X
112,0877790426
113,087784870X
114,0887621112
115,0890814082
116,0890876517
117,0890876967
118,0897330536
119,0898155843
120,0898157803
121,0898793912
122,0898794080
123,0898794544
124,0898796601
125,089879661X
126,0898797055
127,0912452161
128,0932592007
129,0964420805
130,0967201519
131,1400060265
132,1559586893
133,1562923668
134,1564403963
135,1565075722
136,1568380593
137,156865037X
138,1572302399
139,1572304510
140,1576733343
141,1576739597
142,1581690606
143,1852303468
144,1930285000
145,8251800811
146,0060392185
147,0140367209
148,0140546499
149,0192816071
150,0307022196
151,0310912520
152,0312850131
153,0312860862
154,0312923651
155,0312970234
156,0321096983
157,0345300742
158,0345318617
159,0345334590
160,0345352459
161,0345369335
162,0345431464
163,037302973X
164,0373071388
165,0373074646
166,0373106939
167,0373110138
168,0373112572
169,0373117868
170,0373122772
171,0373167318
172,0373708335
173,037383375X
174,0375756817
175,0380710870
176,038097391X
177,0385320329
178,0394800168
179,0394820371
180,0395681863
181,0399122400
182,0399134883
183,0425048543
184,042513525X
185,0425140032
186,0425178102
187,042518630X
188,0440184622
189,0440206561
190,0440207622
191,0440479002
192,044056753X
193,0440800129
194,0441116183
195,0441470734
196,0445205636
197,0446520608
198,0446603368
199,0449210324
200,0451136683
201,0451173392
202,0515130389
203,0515131229
204,051788710X
205,0553201344
206,0553202790
207,0553271571
208,0553282700
209,0553297988
210,0553299352
211,0553565605
212,0590117653
213,0590466178
214,059088008X
215,0671017128
216,0671019961
217,0671502522
218,0671556843
219,067160550X
220,0671655450
221,0671663755
222,0671721623
223,0671775715
224,0684174707
225,0684832860
226,0684835614
227,0689828896
228,0786862572
229,0800786092
230,0812055721
231,0812504321
232,0812508084
233,0812511840
234,0812523466
235,0812531558
236,0812533232
237,0812543181
238,0821713655
239,0821726595
240,0848706978
241,0865926433
242,0871318156
243,0880380845
244,088184781X
245,0886775981
246,0898151899
247,155882068X
248,1569751544
249,1570423008
250,0030020786
251,0060248025
252,0060256664
253,0060256737
254,0060950536
255,0061020419
256,0061020427
257,0061056278
258,0061056286
259,0061056294
260,0061059773
261,0133502813
262,0140386645
263,0142000663
264,0142500135
265,0192800493
266,0201632721
267,0312921098
268,0316542377
269,0316779032
270,0316779059
271,0345337662
272,0345340426
273,0375815260
274,0380775123
275,0399523308
276,0439064864
277,0439136350
278,0439139597
279,043935806X
280,0441004997
281,0451456718
282,0451456734
283,0451457781
284,0451458028
285,0451458508
286,0451458990
287,0451459423
288,0452279089
289,0471485527
290,051513628X
291,0553379534
292,0553573136
293,0590353403
294,0595006035
295,0595093019
296,0671025554
297,0671027441
298,0671519751
299,0671524313
